	relu_coeff	time_cost
4836	2187.0	9.0
4837	507.0	3.0
4838	507.0	3.0
4839	48.0	1.0
4840	48.0	1.0
4841	1024.0	4.0
4842	149187.0	483.0
4843	9408.0	30.0
4844	9408.0	36.0
4845	2187.0	9.0
4846	507.0	3.0
4847	507.0	3.0
4848	48.0	1.0
4849	48.0	1.0
4850	1024.0	5.0
4851	149187.0	614.0
4852	9408.0	48.0
4853	9408.0	34.0
4854	2187.0	11.0
4855	507.0	7.0
4856	507.0	5.0
4857	48.0	1.0
4858	48.0	2.0
4859	1024.0	8.0
4860	149187.0	475.0
4861	9408.0	42.0
4862	9408.0	40.0
4863	2187.0	8.0
4864	507.0	3.0
4865	507.0	3.0
4866	48.0	0.0
4867	48.0	0.0
4868	1024.0	4.0
4869	149187.0	491.0
4870	9408.0	32.0
4871	9408.0	32.0
4872	2187.0	9.0
4873	507.0	3.0
4874	507.0	3.0
4875	48.0	1.0
4876	48.0	1.0
4877	1024.0	4.0
4878	149187.0	541.0
4879	9408.0	40.0
4880	9408.0	33.0
4881	2187.0	9.0
4882	507.0	3.0
4883	507.0	3.0
4884	48.0	0.0
4885	48.0	1.0
4886	1024.0	5.0
4887	149187.0	524.0
4888	9408.0	39.0
4889	9408.0	34.0
4890	2187.0	10.0
4891	507.0	4.0
4892	507.0	3.0
4893	48.0	1.0
4894	48.0	1.0
4895	1024.0	5.0
4896	149187.0	582.0
4897	9408.0	35.0
4898	9408.0	44.0
4899	2187.0	10.0
4900	507.0	4.0
4901	507.0	3.0
4902	48.0	2.0
4903	48.0	1.0
4904	1024.0	7.0
4905	150528.0	508.0
4906	149187.0	2921.0
4907	8748.0	28.0
4908	2187.0	10.0
4909	1024.0	10.0
4910	150528.0	467.0
4911	149187.0	2772.0
4912	8748.0	27.0
4913	2187.0	9.0
4914	1024.0	8.0
4915	150528.0	535.0
4916	149187.0	2949.0
