	FC_N	FC_CI	FC_CO	time_cost
669	1.0	512.0	1024.0	79.0
670	1.0	1024.0	10.0	10.0
671	1.0	512.0	1024.0	64.0
672	1.0	1024.0	10.0	9.0
673	1.0	512.0	1024.0	52.0
674	1.0	1024.0	10.0	9.0
675	1.0	128.0	1024.0	24.0
676	1.0	1024.0	10.0	10.0
677	1.0	128.0	1024.0	22.0
678	1.0	1024.0	10.0	9.0
679	1.0	128.0	1024.0	29.0
680	1.0	1024.0	10.0	9.0
681	1.0	128.0	1024.0	25.0
682	1.0	1024.0	10.0	8.0
683	1.0	128.0	1024.0	25.0
684	1.0	1024.0	10.0	8.0
685	1.0	128.0	1024.0	27.0
686	1.0	1024.0	10.0	11.0
687	1.0	128.0	1024.0	22.0
688	1.0	1024.0	10.0	8.0
689	1.0	128.0	1024.0	23.0
690	1.0	1024.0	10.0	8.0
691	1.0	128.0	1024.0	23.0
692	1.0	1024.0	10.0	8.0
693	1.0	128.0	1024.0	33.0
694	1.0	1024.0	10.0	10.0
695	1.0	128.0	1024.0	27.0
696	1.0	1024.0	10.0	8.0
697	1.0	128.0	1024.0	24.0
698	1.0	1024.0	10.0	9.0
699	1.0	128.0	1024.0	28.0
700	1.0	1024.0	10.0	10.0
701	1.0	128.0	1024.0	22.0
702	1.0	1024.0	10.0	8.0
703	1.0	128.0	1024.0	27.0
704	1.0	1024.0	10.0	8.0
705	1.0	1600.0	1024.0	112.0
706	1.0	1024.0	10.0	9.0
707	1.0	1600.0	1024.0	116.0
708	1.0	1024.0	10.0	9.0
709	1.0	1600.0	1024.0	125.0
710	1.0	1024.0	10.0	12.0
711	1.0	1600.0	1024.0	127.0
712	1.0	1024.0	10.0	12.0
713	1.0	1600.0	1024.0	135.0
714	1.0	1024.0	10.0	13.0
715	1.0	1600.0	1024.0	134.0
716	1.0	1024.0	10.0	12.0
717	1.0	1600.0	1024.0	115.0
718	1.0	1024.0	10.0	12.0
719	1.0	1600.0	1024.0	128.0
720	1.0	1024.0	10.0	13.0
721	1.0	1600.0	1024.0	134.0
722	1.0	1024.0	10.0	9.0
723	1.0	1600.0	1024.0	116.0
724	1.0	1024.0	10.0	13.0
725	1.0	1600.0	1024.0	118.0
726	1.0	1024.0	10.0	10.0
727	1.0	1600.0	1024.0	110.0
728	1.0	1024.0	10.0	12.0
729	1.0	1600.0	1024.0	121.0
730	1.0	1024.0	10.0	15.0
731	1.0	1600.0	1024.0	133.0
732	1.0	1024.0	10.0	12.0
733	1.0	1600.0	1024.0	134.0
734	1.0	1024.0	10.0	8.0
735	1.0	4608.0	1024.0	314.0
736	1.0	1024.0	10.0	9.0
737	1.0	4608.0	1024.0	323.0
738	1.0	1024.0	10.0	12.0
739	1.0	4608.0	1024.0	367.0
740	1.0	1024.0	10.0	10.0
741	1.0	4608.0	1024.0	356.0
742	1.0	1024.0	10.0	12.0
743	1.0	4608.0	1024.0	380.0
744	1.0	1024.0	10.0	9.0
745	1.0	4608.0	1024.0	324.0
746	1.0	1024.0	10.0	9.0
747	1.0	4608.0	1024.0	408.0
748	1.0	1024.0	10.0	10.0
749	1.0	4608.0	1024.0	331.0
750	1.0	1024.0	10.0	8.0
751	1.0	4608.0	1024.0	353.0
752	1.0	1024.0	10.0	8.0
753	1.0	4608.0	1024.0	296.0
754	1.0	1024.0	10.0	9.0
755	1.0	4608.0	1024.0	327.0
756	1.0	1024.0	10.0	9.0
757	1.0	4608.0	1024.0	331.0
758	1.0	1024.0	10.0	9.0
759	1.0	4608.0	1024.0	321.0
760	1.0	1024.0	10.0	15.0
761	1.0	4608.0	1024.0	427.0
762	1.0	1024.0	10.0	12.0
763	1.0	4608.0	1024.0	344.0
764	1.0	1024.0	10.0	14.0
765	1.0	128.0	1024.0	24.0
766	1.0	1024.0	10.0	9.0
767	1.0	128.0	1024.0	22.0
768	1.0	1024.0	10.0	8.0
769	1.0	128.0	1024.0	26.0
770	1.0	1024.0	10.0	8.0
771	1.0	128.0	1024.0	22.0
772	1.0	1024.0	10.0	8.0
773	1.0	128.0	1024.0	25.0
774	1.0	1024.0	10.0	8.0
775	1.0	128.0	1024.0	23.0
776	1.0	1024.0	10.0	9.0
777	1.0	128.0	1024.0	27.0
778	1.0	1024.0	10.0	8.0
779	1.0	128.0	1024.0	27.0
780	1.0	1024.0	10.0	7.0
781	1.0	128.0	1024.0	28.0
782	1.0	1024.0	10.0	8.0
783	1.0	128.0	1024.0	27.0
784	1.0	1024.0	10.0	10.0
785	1.0	128.0	1024.0	22.0
786	1.0	1024.0	10.0	7.0
