# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       1.802        0.000      124.367     1035.773
       1.804        0.000      124.367     1035.773
       1.807        0.000      125.711     1036.031
       1.809      408.900      126.027     1036.160
       1.811        0.000      126.027     1036.160
       1.814        0.000      126.027     1036.160
       1.816        0.000      127.238     1036.547
       1.819        0.000      128.035     1036.934
       1.821        0.000      128.035     1037.062
       1.824        0.000      128.035     1037.062
       1.826        0.000      128.035     1037.062
       1.829      394.300      128.340     1037.039
       1.831        0.000      128.340     1037.039
       1.833        0.000      128.340     1037.039
       1.836        0.000      128.340     1037.039
       1.839        0.000      128.340     1037.039
       1.841        0.000      128.340     1037.039
       1.843        0.000      128.340     1037.039
       1.846        0.000      128.340     1037.039
       1.848        0.000      128.340     1037.039
       1.851        0.000      128.340     1037.168
       1.853        0.000      128.957     1037.168
       1.856        0.000      128.957     1037.168
       1.858        0.000      128.957     1037.168
       1.860        0.000      128.957     1037.168
       1.863        0.000      129.480     1037.426
       1.865        0.000      130.223     1037.941
       1.868      381.600      130.594     1038.371
       1.870        0.000      130.594     1038.371
       1.873        0.000      130.594     1038.371
       1.875        0.000      130.594     1038.371
       1.878        0.000      130.594     1038.371
       1.880        0.000      130.594     1038.371
       1.883        0.000      131.586     1038.629
       1.885        0.000      131.586     1038.898
       1.888        0.000      131.586     1038.898
       1.890        0.000      134.176     1038.898
       1.892        0.000      134.176     1038.898
       1.895        0.000      134.176     1038.898
       1.897        0.000      134.176     1038.898
       1.900        0.000      134.176     1038.898
       1.902        0.000      134.176     1038.898
       1.905      412.300      135.277     1038.898
       1.907        0.000      136.023     1038.898
       1.910        0.000      136.023     1038.898
       1.912        0.000      136.023     1038.898
       1.914        0.000      136.023     1038.898
       1.917        0.000      136.023     1038.898
       1.919        0.000      136.785     1038.898
       1.922      412.800      136.785     1038.898
       1.924        0.000      138.062     1038.898
       1.927        0.000      138.539     1039.156
       1.929        0.000      138.648     1039.180
       1.932        0.000      138.648     1039.180
       1.934        0.000      138.648     1057.066
       1.937        0.000      138.648     1057.066
       1.939        0.000      138.648     1057.066
       1.942        0.000      138.668     1057.066
       1.944        0.000      138.668     1057.066
       1.946        0.000      138.816     1057.238
       1.949        0.000      138.836     1057.387
       1.951        0.000      138.883     1424.480
       1.954        0.000      138.883     1424.480
       1.956        0.000      138.883     2121.207
       1.959        0.000      139.051     2121.207
       1.961        0.000      139.219     2121.719
       1.964        0.000      139.223     2121.719
       1.966        0.000      139.270     2122.586
       1.968        0.000      139.270     2122.586
       1.971        0.000      139.270     2122.586
       1.973        0.000      139.270     2122.586
       1.976        0.000      139.270     2122.586
       1.978        0.000      139.273     2122.586
       1.981        0.000      139.273     2122.586
